head sets: {'latents': {0: [3, 5, 6, 7]}, 'answer': {0: [0, 2, 4], 1: [0, 3, 4]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 18.0  qk_removal +67.5/e0.27  l1_latents/path/alone -0.7/e0.15  l1_latents/path/plus_removal +66.9/e0.31  answer_heads/path/alone +0.1/e0.14  answer_heads/path/plus_removal +68.4/e0.26  all_routes/path/plus_removal +67.8/e0.29  all_routes/offpath/plus_removal +64.3/e0.29  l2_latents_mask/path/alone -6.5/e0.14
graph 73: base T 97.9  qk_removal -18.3/e0.13  l1_latents/path/alone +0.0/e0.01  l1_latents/path/plus_removal -17.5/e0.15  answer_heads/path/alone +0.1/e0.01  answer_heads/path/plus_removal -17.8/e0.13  all_routes/path/plus_removal -17.0/e0.14  all_routes/offpath/plus_removal -27.7/e0.04  l2_latents_mask/path/alone -2.7/e0.04
graph 74: base T 100.0  qk_removal -0.8/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -1.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.8/e0.00  all_routes/path/plus_removal -1.1/e0.00  all_routes/offpath/plus_removal -1.1/e0.00  l2_latents_mask/path/alone -74.3/e0.00
graph 75: base T 98.9  qk_removal -44.3/e0.00  l1_latents/path/alone -0.4/e0.00  l1_latents/path/plus_removal -42.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -44.1/e0.00  all_routes/path/plus_removal -41.8/e0.00  all_routes/offpath/plus_removal -33.3/e0.00  l2_latents_mask/path/alone -41.6/e0.01
graph 76: base T 98.1  qk_removal -98.1/e0.00  l1_latents/path/alone -0.4/e0.00  l1_latents/path/plus_removal -98.1/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -98.1/e0.00  all_routes/path/plus_removal -98.1/e0.00  all_routes/offpath/plus_removal -98.1/e0.00  l2_latents_mask/path/alone -97.2/e0.00
graph 77: base T 100.0  qk_removal -0.5/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.00  all_routes/path/plus_removal -0.5/e0.00  all_routes/offpath/plus_removal -0.4/e0.00  l2_latents_mask/path/alone -86.9/e0.01
graph 78: base T 100.0  qk_removal -0.1/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.01  all_routes/path/plus_removal -0.1/e0.01  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.6/e0.02
graph 79: base T 100.0  qk_removal -5.7/e0.04  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -6.0/e0.03  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -6.0/e0.04  all_routes/path/plus_removal -6.4/e0.03  all_routes/offpath/plus_removal -8.9/e0.05  l2_latents_mask/path/alone -11.2/e0.05
graph 80: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -1.3/e0.06
graph 81: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.4/e0.00
graph 82: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -94.4/e0.00
graph 83: base T 99.8  qk_removal -99.1/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -99.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -99.2/e0.00  all_routes/path/plus_removal -99.1/e0.00  all_routes/offpath/plus_removal -99.4/e0.00  l2_latents_mask/path/alone -88.7/e0.02
graph 84: base T 100.0  qk_removal -0.3/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.3/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.3/e0.00  all_routes/path/plus_removal -0.3/e0.00  all_routes/offpath/plus_removal -0.2/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 85: base T 100.0  qk_removal -0.6/e0.10  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -1.4/e0.22  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.6/e0.10  all_routes/path/plus_removal -1.4/e0.22  all_routes/offpath/plus_removal -0.4/e0.04  l2_latents_mask/path/alone -0.3/e0.11
graph 86: base T 100.0  qk_removal -0.4/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.4/e0.01  all_routes/path/plus_removal -0.5/e0.01  all_routes/offpath/plus_removal -0.3/e0.00  l2_latents_mask/path/alone -94.5/e0.96
graph 87: base T 100.0  qk_removal -0.5/e0.69  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.4/e0.55  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.69  all_routes/path/plus_removal -0.5/e0.57  all_routes/offpath/plus_removal -0.5/e0.59  l2_latents_mask/path/alone -0.0/e0.00
graph 88: base T 100.0  qk_removal -9.0/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -11.2/e0.04  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -10.4/e0.03  all_routes/path/plus_removal -12.9/e0.05  all_routes/offpath/plus_removal -12.1/e0.03  l2_latents_mask/path/alone -7.3/e0.00
graph 89: base T 100.0  qk_removal -0.3/e0.18  l1_latents/path/alone -0.0/e0.01  l1_latents/path/plus_removal -0.2/e0.14  answer_heads/path/alone +0.0/e0.01  answer_heads/path/plus_removal -0.3/e0.17  all_routes/path/plus_removal -0.2/e0.13  all_routes/offpath/plus_removal -0.2/e0.12  l2_latents_mask/path/alone -1.2/e0.63
graph 90: base T 66.1  qk_removal -65.4/e0.00  l1_latents/path/alone +0.9/e0.00  l1_latents/path/plus_removal -65.4/e0.00  answer_heads/path/alone -0.5/e0.00  answer_heads/path/plus_removal -65.4/e0.00  all_routes/path/plus_removal -65.4/e0.00  all_routes/offpath/plus_removal -65.4/e0.00  l2_latents_mask/path/alone -65.2/e0.00
graph 91: base T 99.9  qk_removal -11.7/e0.05  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -16.9/e0.07  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -11.4/e0.05  all_routes/path/plus_removal -16.5/e0.07  all_routes/offpath/plus_removal -13.6/e0.05  l2_latents_mask/path/alone -9.1/e0.01
graph 92: base T 99.6  qk_removal -89.8/e0.00  l1_latents/path/alone -0.3/e0.00  l1_latents/path/plus_removal -92.6/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -89.6/e0.00  all_routes/path/plus_removal -92.5/e0.00  all_routes/offpath/plus_removal -91.1/e0.00  l2_latents_mask/path/alone -51.9/e0.02
graph 93: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone +0.0/e0.00
graph 94: base T 98.8  qk_removal -93.0/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -94.4/e0.00  answer_heads/path/alone +0.2/e0.00  answer_heads/path/plus_removal -92.4/e0.00  all_routes/path/plus_removal -94.0/e0.00  all_routes/offpath/plus_removal -92.6/e0.00  l2_latents_mask/path/alone -90.8/e0.00
graph 95: base T 95.5  qk_removal -72.6/e0.05  l1_latents/path/alone -1.0/e0.01  l1_latents/path/plus_removal -76.3/e0.06  answer_heads/path/alone -0.0/e0.01  answer_heads/path/plus_removal -72.7/e0.05  all_routes/path/plus_removal -76.4/e0.06  all_routes/offpath/plus_removal -73.4/e0.05  l2_latents_mask/path/alone -64.6/e0.02
graph 96: base T 100.0  qk_removal -6.4/e0.20  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -9.0/e0.37  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -6.7/e0.20  all_routes/path/plus_removal -9.3/e0.37  all_routes/offpath/plus_removal -9.0/e0.21  l2_latents_mask/path/alone -54.7/e0.56
graph 97: base T 99.7  qk_removal -98.5/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -98.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -98.5/e0.00  all_routes/path/plus_removal -98.5/e0.00  all_routes/offpath/plus_removal -98.3/e0.00  l2_latents_mask/path/alone -2.3/e0.00
graph 98: base T 100.0  qk_removal -10.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -33.1/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -10.4/e0.00  all_routes/path/plus_removal -33.2/e0.00  all_routes/offpath/plus_removal -11.9/e0.00  l2_latents_mask/path/alone -1.1/e0.00
graph 99: base T 100.0  qk_removal -47.9/e0.04  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -35.0/e0.02  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -48.0/e0.04  all_routes/path/plus_removal -35.2/e0.02  all_routes/offpath/plus_removal -48.8/e0.07  l2_latents_mask/path/alone -0.0/e0.00
written: /Users/ecaterina/Developer/phoenix/results/seed2/masking_n100.json
