head sets: {'latents': {0: [1, 3, 5, 6, 7]}, 'answer': {0: [0], 1: [2, 4]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  qk_removal -34.3/e0.11  l1_latents/path/alone -3.1/e0.01  l1_latents/path/plus_removal -36.2/e0.12  answer_heads/path/alone -0.2/e0.01  answer_heads/path/plus_removal -34.6/e0.11  all_routes/path/plus_removal -36.5/e0.12  all_routes/offpath/plus_removal -41.5/e0.09  l2_latents_mask/path/alone -4.6/e0.02
graph 73: base T 100.0  qk_removal -3.5/e0.21  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -4.2/e0.20  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.5/e0.22  all_routes/path/plus_removal -4.2/e0.21  all_routes/offpath/plus_removal -3.3/e0.09  l2_latents_mask/path/alone -0.5/e0.00
graph 74: base T 100.0  qk_removal -43.4/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -30.8/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -16.5/e0.00  all_routes/path/plus_removal -11.0/e0.00  all_routes/offpath/plus_removal -38.1/e0.00  l2_latents_mask/path/alone -67.3/e0.00
graph 75: base T 99.4  qk_removal -87.6/e0.05  l1_latents/path/alone -0.7/e0.01  l1_latents/path/plus_removal -87.2/e0.06  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -88.3/e0.05  all_routes/path/plus_removal -87.8/e0.06  all_routes/offpath/plus_removal -87.3/e0.05  l2_latents_mask/path/alone -7.5/e0.01
graph 76: base T 100.0  qk_removal -86.6/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -90.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -85.7/e0.01  all_routes/path/plus_removal -89.2/e0.00  all_routes/offpath/plus_removal -90.9/e0.01  l2_latents_mask/path/alone -80.2/e0.01
graph 77: base T 98.8  qk_removal -1.5/e0.00  l1_latents/path/alone +0.1/e0.00  l1_latents/path/plus_removal -1.6/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -1.5/e0.00  all_routes/path/plus_removal -1.6/e0.00  all_routes/offpath/plus_removal -1.0/e0.00  l2_latents_mask/path/alone -96.2/e0.00
graph 78: base T 100.0  qk_removal -6.9/e0.44  l1_latents/path/alone -0.0/e0.01  l1_latents/path/plus_removal -8.7/e0.52  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -5.3/e0.38  all_routes/path/plus_removal -6.9/e0.47  all_routes/offpath/plus_removal -9.3/e0.48  l2_latents_mask/path/alone -4.7/e0.31
graph 79: base T 100.0  qk_removal -4.2/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -6.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -4.3/e0.00  all_routes/path/plus_removal -6.6/e0.00  all_routes/offpath/plus_removal -14.6/e0.00  l2_latents_mask/path/alone -0.6/e0.00
graph 80: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 81: base T 100.0  qk_removal +0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal +0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal +0.0/e0.00  l2_latents_mask/path/alone -0.6/e0.00
graph 82: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -12.1/e0.00
graph 83: base T 100.0  qk_removal -99.5/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -99.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -99.5/e0.00  all_routes/path/plus_removal -99.0/e0.00  all_routes/offpath/plus_removal -99.3/e0.00  l2_latents_mask/path/alone -95.9/e0.00
graph 84: base T 94.3  qk_removal -40.3/e0.01  l1_latents/path/alone -5.1/e0.00  l1_latents/path/plus_removal -45.7/e0.00  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -40.4/e0.01  all_routes/path/plus_removal -45.8/e0.00  all_routes/offpath/plus_removal -40.7/e0.01  l2_latents_mask/path/alone -8.1/e0.00
graph 85: base T 100.0  qk_removal -0.3/e0.10  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.3/e0.19  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.10  all_routes/path/plus_removal -0.3/e0.18  all_routes/offpath/plus_removal -0.3/e0.06  l2_latents_mask/path/alone -0.1/e0.01
graph 86: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -62.5/e0.99
graph 87: base T 100.0  qk_removal +0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal +0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal +0.0/e0.00  all_routes/path/plus_removal +0.0/e0.00  all_routes/offpath/plus_removal +0.0/e0.00  l2_latents_mask/path/alone +0.0/e0.00
graph 88: base T 100.0  qk_removal -16.3/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -24.7/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -15.8/e0.01  all_routes/path/plus_removal -24.1/e0.01  all_routes/offpath/plus_removal -26.5/e0.01  l2_latents_mask/path/alone -0.5/e0.01
graph 89: base T 100.0  qk_removal -0.0/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.01  all_routes/path/plus_removal -0.0/e0.01  all_routes/offpath/plus_removal -0.0/e0.01  l2_latents_mask/path/alone -0.0/e0.00
graph 90: base T 99.6  qk_removal -85.2/e0.03  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -84.8/e0.03  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -85.5/e0.03  all_routes/path/plus_removal -85.1/e0.03  all_routes/offpath/plus_removal -85.6/e0.03  l2_latents_mask/path/alone -45.4/e0.00
graph 91: base T 11.3  qk_removal -10.4/e0.00  l1_latents/path/alone -3.2/e0.00  l1_latents/path/plus_removal -10.3/e0.00  answer_heads/path/alone +0.4/e0.00  answer_heads/path/plus_removal -10.4/e0.00  all_routes/path/plus_removal -10.2/e0.00  all_routes/offpath/plus_removal -9.1/e0.00  l2_latents_mask/path/alone -8.5/e0.00
graph 92: base T 100.0  qk_removal -24.3/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -9.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -22.6/e0.01  all_routes/path/plus_removal -9.1/e0.00  all_routes/offpath/plus_removal -21.2/e0.01  l2_latents_mask/path/alone -86.7/e0.01
graph 93: base T 99.8  qk_removal -0.1/e0.00  l1_latents/path/alone -0.8/e0.00  l1_latents/path/plus_removal -1.7/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -1.7/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone +0.2/e0.00
graph 94: base T 100.0  qk_removal -76.7/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -70.6/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -77.0/e0.00  all_routes/path/plus_removal -70.8/e0.00  all_routes/offpath/plus_removal -68.7/e0.01  l2_latents_mask/path/alone -89.3/e0.00
graph 95: base T 100.0  qk_removal -0.0/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.01  all_routes/path/plus_removal -0.1/e0.01  all_routes/offpath/plus_removal -0.0/e0.01  l2_latents_mask/path/alone -0.0/e0.00
graph 96: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 97: base T 99.9  qk_removal -34.3/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -35.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -31.0/e0.00  all_routes/path/plus_removal -32.3/e0.00  all_routes/offpath/plus_removal -37.5/e0.00  l2_latents_mask/path/alone -2.2/e0.00
graph 98: base T 99.9  qk_removal -26.2/e0.05  l1_latents/path/alone -0.2/e0.01  l1_latents/path/plus_removal -16.3/e0.04  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -26.3/e0.05  all_routes/path/plus_removal -16.4/e0.04  all_routes/offpath/plus_removal -19.3/e0.03  l2_latents_mask/path/alone -1.6/e0.00
graph 99: base T 100.0  qk_removal -6.9/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -3.9/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -6.9/e0.01  all_routes/path/plus_removal -3.9/e0.00  all_routes/offpath/plus_removal -8.4/e0.01  l2_latents_mask/path/alone +0.0/e0.00
written: /Users/ecaterina/Developer/phoenix/results/seed1/masking_n100.json
