`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  qk_removal -34.3/e0.11  mlp/answer/L1/mean/alone +28.5/e0.05  mlp/answer/L1/same_answer/alone +28.3/e0.00  mlp/answer/L1/random/alone +27.6/e1.00  thoughtK/same_answer/plus_removal +27.9/e0.00  thoughtK/random/plus_removal +21.2/e1.00  decoy_edges/path/plus_removal -32.6/e0.12  cand_tokens/path/alone +23.1/e0.01
graph 68: base T 99.8  qk_removal -1.1/e0.00  mlp/answer/L1/mean/alone -63.4/e0.05  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -99.7/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -99.8/e0.00  decoy_edges/path/plus_removal -2.0/e0.00  cand_tokens/path/alone +0.1/e0.00
graph 69: base T 100.0  qk_removal -0.8/e0.00  mlp/answer/L1/mean/alone -0.8/e0.16  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -77.9/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -99.6/e1.00  decoy_edges/path/plus_removal -0.8/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 70: base T 99.9  qk_removal -95.4/e0.01  mlp/answer/L1/mean/alone -89.9/e0.94  mlp/answer/L1/same_answer/alone -0.6/e0.00  mlp/answer/L1/random/alone -58.4/e1.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -24.4/e1.00  decoy_edges/path/plus_removal -97.2/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 71: base T 100.0  qk_removal -53.7/e0.01  mlp/answer/L1/mean/alone -0.4/e0.21  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -85.2/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 72: base T 100.0  qk_removal -0.0/e0.01  mlp/answer/L1/mean/alone -0.0/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -56.3/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -84.4/e1.00  decoy_edges/path/plus_removal -0.5/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 73: base T 100.0  qk_removal -3.5/e0.21  mlp/answer/L1/mean/alone -0.9/e0.05  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -3.8/e0.22  cand_tokens/path/alone +0.0/e0.00
graph 74: base T 100.0  qk_removal -43.4/e0.00  mlp/answer/L1/mean/alone -16.2/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -48.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -69.4/e1.00  decoy_edges/path/plus_removal -42.6/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 75: base T 99.4  qk_removal -87.6/e0.05  mlp/answer/L1/mean/alone -0.3/e0.02  mlp/answer/L1/same_answer/alone +0.5/e0.00  mlp/answer/L1/random/alone -6.0/e1.00  thoughtK/same_answer/plus_removal +0.5/e0.00  thoughtK/random/plus_removal -33.5/e1.00  decoy_edges/path/plus_removal -93.2/e0.03  cand_tokens/path/alone +0.2/e0.01
graph 76: base T 100.0  qk_removal -86.6/e0.01  mlp/answer/L1/mean/alone -18.3/e0.00  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -88.8/e0.01  cand_tokens/path/alone -0.0/e0.00
graph 77: base T 98.8  qk_removal -1.5/e0.00  mlp/answer/L1/mean/alone -51.7/e0.18  mlp/answer/L1/same_answer/alone +1.2/e0.00  mlp/answer/L1/random/alone -97.2/e1.00  thoughtK/same_answer/plus_removal +1.2/e0.00  thoughtK/random/plus_removal -98.5/e1.00  decoy_edges/path/plus_removal -1.5/e0.00  cand_tokens/path/alone +0.7/e0.00
graph 78: base T 100.0  qk_removal -6.9/e0.44  mlp/answer/L1/mean/alone -0.1/e0.11  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -1.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -3.6/e1.00  decoy_edges/path/plus_removal -6.5/e0.43  cand_tokens/path/alone +0.0/e0.01
graph 79: base T 100.0  qk_removal -4.2/e0.00  mlp/answer/L1/mean/alone -0.0/e0.00  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -3.8/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 80: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.3/e0.04  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -22.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -73.3/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 81: base T 100.0  qk_removal +0.0/e0.00  mlp/answer/L1/mean/alone -12.8/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -1.6/e0.99  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -8.4/e1.00  decoy_edges/path/plus_removal +0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 82: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.7/e0.00  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -11.9/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -46.4/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 83: base T 100.0  qk_removal -99.5/e0.00  mlp/answer/L1/mean/alone -0.1/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -5.4/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -4.8/e1.00  decoy_edges/path/plus_removal -99.5/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 84: base T 94.3  qk_removal -40.3/e0.01  mlp/answer/L1/mean/alone +3.9/e0.02  mlp/answer/L1/same_answer/alone +5.7/e0.00  mlp/answer/L1/random/alone -41.5/e1.00  thoughtK/same_answer/plus_removal +5.7/e0.00  thoughtK/random/plus_removal -23.3/e0.99  decoy_edges/path/plus_removal -40.2/e0.01  cand_tokens/path/alone -2.9/e0.00
graph 85: base T 100.0  qk_removal -0.3/e0.10  mlp/answer/L1/mean/alone -2.0/e0.01  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.1/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -0.8/e1.00  decoy_edges/path/plus_removal -0.4/e0.10  cand_tokens/path/alone +0.0/e0.00
graph 86: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -3.8/e0.15  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.3/e0.98  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -0.4/e0.98  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 87: base T 100.0  qk_removal +0.0/e0.00  mlp/answer/L1/mean/alone -0.1/e0.01  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -4.4/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -41.8/e1.00  decoy_edges/path/plus_removal +0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 88: base T 100.0  qk_removal -16.3/e0.01  mlp/answer/L1/mean/alone -53.9/e0.15  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -16.7/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 89: base T 100.0  qk_removal -0.0/e0.01  mlp/answer/L1/mean/alone -0.0/e0.89  mlp/answer/L1/random/alone -0.0/e0.00  thoughtK/random/plus_removal -0.0/e0.00  decoy_edges/path/plus_removal -0.0/e0.01  cand_tokens/path/alone -0.0/e0.00
graph 90: base T 99.6  qk_removal -85.2/e0.03  mlp/answer/L1/mean/alone -59.1/e0.77  mlp/answer/L1/same_answer/alone +0.4/e0.00  mlp/answer/L1/random/alone -63.0/e1.00  thoughtK/same_answer/plus_removal +0.4/e0.00  thoughtK/random/plus_removal -76.6/e1.00  decoy_edges/path/plus_removal -96.7/e0.00  cand_tokens/path/alone +0.2/e0.00
graph 91: base T 11.3  qk_removal -10.4/e0.00  mlp/answer/L1/mean/alone +70.6/e0.00  mlp/answer/L1/same_answer/alone +88.7/e0.00  mlp/answer/L1/random/alone +88.7/e0.00  thoughtK/same_answer/plus_removal +88.7/e0.00  thoughtK/random/plus_removal +88.7/e0.00  decoy_edges/path/plus_removal -10.5/e0.00  cand_tokens/path/alone +1.7/e0.02
graph 92: base T 100.0  qk_removal -24.3/e0.01  mlp/answer/L1/mean/alone -1.8/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -4.9/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -37.3/e1.00  decoy_edges/path/plus_removal -36.9/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 93: base T 99.8  qk_removal -0.1/e0.00  mlp/answer/L1/mean/alone -19.7/e0.09  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -98.8/e0.98  thoughtK/same_answer/plus_removal +0.2/e0.00  thoughtK/random/plus_removal -98.9/e1.00  decoy_edges/path/plus_removal -0.3/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 94: base T 100.0  qk_removal -76.7/e0.00  mlp/answer/L1/mean/alone -0.7/e0.00  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.2/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -0.4/e1.00  decoy_edges/path/plus_removal -76.6/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 95: base T 100.0  qk_removal -0.0/e0.01  mlp/answer/L1/mean/alone -0.1/e0.98  mlp/answer/L1/random/alone -2.0/e1.00  thoughtK/random/plus_removal -11.9/e1.00  decoy_edges/path/plus_removal -0.0/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 96: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -1.3/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -56.5/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -64.3/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 97: base T 99.9  qk_removal -34.3/e0.00  mlp/answer/L1/mean/alone -1.1/e0.01  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -0.5/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -1.5/e0.69  decoy_edges/path/plus_removal -35.2/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 98: base T 99.9  qk_removal -26.2/e0.05  mlp/answer/L1/mean/alone -2.5/e0.16  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -87.6/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -98.5/e1.00  decoy_edges/path/plus_removal -25.9/e0.05  cand_tokens/path/alone +0.0/e0.00
graph 99: base T 100.0  qk_removal -6.9/e0.01  mlp/answer/L1/mean/alone -1.6/e0.08  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -44.5/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -78.0/e1.00  decoy_edges/path/plus_removal -15.0/e0.01  cand_tokens/path/alone +0.0/e0.00
written: /Users/ecaterina/Developer/phoenix/results/seed1/recovery_n100.json
