`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 98.4  qk_removal -15.8/e0.08  mlp/answer/L1/mean/alone +0.4/e0.23  mlp/answer/L1/same_answer/alone +1.5/e0.00  mlp/answer/L1/random/alone -5.0/e1.00  thoughtK/same_answer/plus_removal +1.6/e0.00  thoughtK/random/plus_removal -16.8/e1.00  decoy_edges/path/plus_removal -14.6/e0.08  cand_tokens/path/alone +0.3/e0.15
graph 68: base T 100.0  qk_removal -4.4/e0.00  mlp/answer/L1/mean/alone -45.8/e0.76  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -4.5/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 69: base T 100.0  qk_removal -12.6/e0.04  mlp/answer/L1/mean/alone -0.1/e0.27  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -36.3/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -92.7/e1.00  decoy_edges/path/plus_removal -11.8/e0.04  cand_tokens/path/alone +0.0/e0.00
graph 70: base T 100.0  qk_removal -81.2/e0.96  mlp/answer/L1/mean/alone -15.5/e0.74  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -6.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -20.1/e1.00  decoy_edges/path/plus_removal -87.5/e0.96  cand_tokens/path/alone +0.0/e0.00
graph 71: base T 100.0  qk_removal -63.0/e0.00  mlp/answer/L1/mean/alone -30.6/e0.09  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -65.9/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 72: base T 100.0  qk_removal -0.5/e0.03  mlp/answer/L1/mean/alone -0.0/e0.04  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -66.4/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -87.1/e1.00  decoy_edges/path/plus_removal -8.4/e0.03  cand_tokens/path/alone +0.0/e0.00
graph 73: base T 100.0  qk_removal -0.4/e0.05  mlp/answer/L1/mean/alone -0.2/e0.08  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -0.4/e0.06  cand_tokens/path/alone +0.0/e0.00
graph 74: base T 100.0  qk_removal -0.5/e0.00  mlp/answer/L1/mean/alone -0.5/e0.04  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -98.3/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -95.0/e1.00  decoy_edges/path/plus_removal -0.5/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 75: base T 95.6  qk_removal -2.2/e0.86  mlp/answer/L1/mean/alone +4.2/e0.17  mlp/answer/L1/same_answer/alone +4.4/e0.00  mlp/answer/L1/random/alone -4.4/e1.00  thoughtK/same_answer/plus_removal +4.4/e0.00  thoughtK/random/plus_removal -32.8/e1.00  decoy_edges/path/plus_removal -15.7/e0.86  cand_tokens/path/alone +2.2/e0.90
graph 76: base T 2.7  qk_removal -2.3/e0.00  mlp/answer/L1/mean/alone +24.7/e0.12  mlp/answer/L1/same_answer/alone +97.3/e0.00  mlp/answer/L1/random/alone -2.7/e0.00  thoughtK/same_answer/plus_removal +97.3/e0.00  thoughtK/random/plus_removal -2.7/e0.00  decoy_edges/path/plus_removal -2.3/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 77: base T 99.9  qk_removal -0.2/e0.00  mlp/answer/L1/mean/alone -97.8/e0.63  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -85.7/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -89.1/e1.00  decoy_edges/path/plus_removal -0.2/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 78: base T 99.7  qk_removal -1.8/e0.33  mlp/answer/L1/mean/alone +0.2/e0.49  mlp/answer/L1/same_answer/alone +0.2/e0.00  mlp/answer/L1/random/alone +0.1/e1.00  thoughtK/same_answer/plus_removal +0.2/e0.00  thoughtK/random/plus_removal -0.0/e1.00  decoy_edges/path/plus_removal -2.4/e0.36  cand_tokens/path/alone +0.1/e0.52
graph 79: base T 100.0  qk_removal -6.6/e0.01  mlp/answer/L1/mean/alone -0.9/e0.05  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -6.7/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 80: base T 100.0  qk_removal -21.4/e0.88  mlp/answer/L1/mean/alone -0.2/e0.25  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -0.3/e1.00  decoy_edges/path/plus_removal -39.8/e0.86  cand_tokens/path/alone +0.0/e0.00
graph 81: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.5/e0.09  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -1.2/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -6.7/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 82: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -17.0/e0.18  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -96.9/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -99.3/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 83: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.0/e0.06  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -20.5/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -95.8/e0.47  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 84: base T 23.0  qk_removal -21.3/e0.00  mlp/answer/L1/mean/alone +32.0/e0.13  mlp/answer/L1/same_answer/alone +72.3/e0.00  mlp/answer/L1/random/alone +32.1/e1.00  thoughtK/same_answer/plus_removal +74.6/e0.00  thoughtK/random/plus_removal +13.4/e1.00  decoy_edges/path/plus_removal -20.9/e0.00  cand_tokens/path/alone +8.8/e0.00
graph 85: base T 100.0  qk_removal +0.0/e0.00  mlp/answer/L1/mean/alone -0.8/e0.12  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -63.9/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -81.0/e1.00  decoy_edges/path/plus_removal +0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 86: base T 99.9  qk_removal -0.1/e0.03  mlp/answer/L1/mean/alone -69.6/e0.95  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -81.6/e0.99  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -93.7/e1.00  decoy_edges/path/plus_removal -0.1/e0.03  cand_tokens/path/alone -0.0/e0.01
graph 87: base T 100.0  qk_removal -0.2/e0.15  mlp/answer/L1/mean/alone -0.0/e0.11  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -3.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -7.4/e1.00  decoy_edges/path/plus_removal -0.1/e0.17  cand_tokens/path/alone -0.0/e0.00
graph 88: base T 100.0  qk_removal -0.1/e0.00  mlp/answer/L1/mean/alone -0.8/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -0.1/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 89: base T 99.5  qk_removal +0.5/e0.01  mlp/answer/L1/mean/alone +0.3/e0.99  mlp/answer/L1/random/alone +0.5/e0.00  thoughtK/random/plus_removal +0.5/e0.06  decoy_edges/path/plus_removal +0.5/e0.01  cand_tokens/path/alone -0.1/e0.97
graph 90: base T 99.7  qk_removal -64.7/e0.93  mlp/answer/L1/mean/alone -10.2/e0.08  mlp/answer/L1/same_answer/alone +0.3/e0.00  mlp/answer/L1/random/alone -0.8/e1.00  thoughtK/same_answer/plus_removal +0.3/e0.00  thoughtK/random/plus_removal -3.0/e1.00  decoy_edges/path/plus_removal -64.5/e0.93  cand_tokens/path/alone -0.0/e0.00
graph 91: base T 21.7  qk_removal +3.8/e0.27  mlp/answer/L1/mean/alone +25.4/e0.23  mlp/answer/L1/same_answer/alone +78.3/e0.00  mlp/answer/L1/random/alone +78.3/e0.00  thoughtK/same_answer/plus_removal +78.3/e0.00  thoughtK/random/plus_removal +78.3/e0.00  decoy_edges/path/plus_removal +3.8/e0.28  cand_tokens/path/alone +0.4/e0.15
graph 92: base T 100.0  qk_removal -5.8/e0.45  mlp/answer/L1/mean/alone -1.1/e0.04  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -69.7/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -87.0/e1.00  decoy_edges/path/plus_removal -5.4/e0.41  cand_tokens/path/alone +0.0/e0.00
graph 93: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.2/e0.08  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -77.6/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -94.0/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 94: base T 99.9  qk_removal -14.7/e0.01  mlp/answer/L1/mean/alone -0.9/e0.01  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -4.4/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -15.9/e1.00  decoy_edges/path/plus_removal -15.1/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 95: base T 99.9  qk_removal -98.8/e0.01  mlp/answer/L1/mean/alone -1.1/e0.58  mlp/answer/L1/random/alone -85.2/e1.00  thoughtK/random/plus_removal -95.7/e1.00  decoy_edges/path/plus_removal -98.5/e0.01  cand_tokens/path/alone +0.1/e0.00
graph 96: base T 100.0  qk_removal -1.6/e0.00  mlp/answer/L1/mean/alone -9.8/e0.36  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -83.4/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -88.6/e1.00  decoy_edges/path/plus_removal -6.1/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 97: base T 100.0  qk_removal -21.8/e0.00  mlp/answer/L1/mean/alone -0.2/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -5.8/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -22.9/e1.00  decoy_edges/path/plus_removal -22.3/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 98: base T 100.0  qk_removal -11.6/e0.05  mlp/answer/L1/mean/alone -0.1/e0.14  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -7.1/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -6.2/e1.00  decoy_edges/path/plus_removal -36.3/e0.03  cand_tokens/path/alone +0.0/e0.00
graph 99: base T 100.0  qk_removal -48.9/e0.12  mlp/answer/L1/mean/alone -0.3/e0.05  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -24.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.01  thoughtK/random/plus_removal -45.6/e1.00  decoy_edges/path/plus_removal -72.1/e0.05  cand_tokens/path/alone +0.0/e0.00
written: /Users/ecaterina/Developer/phoenix/results/seed3/recovery_n100.json
