head sets: {'latents': {0: [0, 1, 3, 6, 7]}, 'answer': {0: [2, 7], 1: [0, 1, 3, 5, 6]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 98.4  qk_removal -15.8/e0.08  l1_latents/path/alone +0.2/e0.07  l1_latents/path/plus_removal -16.3/e0.06  answer_heads/path/alone -0.0/e0.16  answer_heads/path/plus_removal -16.1/e0.08  all_routes/path/plus_removal -16.6/e0.06  all_routes/offpath/plus_removal -13.2/e0.08  l2_latents_mask/path/alone -0.3/e0.25
graph 73: base T 100.0  qk_removal -0.4/e0.05  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.06  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.4/e0.05  all_routes/path/plus_removal -0.5/e0.06  all_routes/offpath/plus_removal -0.3/e0.02  l2_latents_mask/path/alone -0.1/e0.03
graph 74: base T 100.0  qk_removal -0.5/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.6/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.3/e0.00  all_routes/path/plus_removal -0.3/e0.00  all_routes/offpath/plus_removal -0.5/e0.00  l2_latents_mask/path/alone -46.3/e0.01
graph 75: base T 95.6  qk_removal -2.2/e0.86  l1_latents/path/alone -2.7/e0.83  l1_latents/path/plus_removal -6.7/e0.90  answer_heads/path/alone -0.2/e0.79  answer_heads/path/plus_removal -2.6/e0.87  all_routes/path/plus_removal -7.3/e0.91  all_routes/offpath/plus_removal -0.7/e0.79  l2_latents_mask/path/alone -10.8/e0.86
graph 76: base T 2.7  qk_removal -2.3/e0.00  l1_latents/path/alone +4.2/e0.00  l1_latents/path/plus_removal -2.1/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -2.3/e0.00  all_routes/path/plus_removal -2.1/e0.00  all_routes/offpath/plus_removal -2.3/e0.00  l2_latents_mask/path/alone +53.0/e0.01
graph 77: base T 99.9  qk_removal -0.2/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.2/e0.00  l2_latents_mask/path/alone -48.2/e0.93
graph 78: base T 99.7  qk_removal -1.8/e0.33  l1_latents/path/alone -0.0/e0.52  l1_latents/path/plus_removal -2.0/e0.35  answer_heads/path/alone +0.2/e0.23  answer_heads/path/plus_removal -0.6/e0.17  all_routes/path/plus_removal -0.7/e0.18  all_routes/offpath/plus_removal -3.5/e0.41  l2_latents_mask/path/alone -1.3/e0.93
graph 79: base T 100.0  qk_removal -6.6/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -3.0/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -5.8/e0.01  all_routes/path/plus_removal -2.7/e0.01  all_routes/offpath/plus_removal -2.3/e0.01  l2_latents_mask/path/alone -0.7/e0.00
graph 80: base T 100.0  qk_removal -21.4/e0.88  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -16.8/e0.83  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -16.9/e0.89  all_routes/path/plus_removal -13.2/e0.84  all_routes/offpath/plus_removal -18.3/e0.86  l2_latents_mask/path/alone -1.4/e0.82
graph 81: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -4.0/e0.03
graph 82: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -99.9/e0.00
graph 83: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 84: base T 23.0  qk_removal -21.3/e0.00  l1_latents/path/alone -3.2/e0.00  l1_latents/path/plus_removal -21.6/e0.00  answer_heads/path/alone +0.4/e0.00  answer_heads/path/plus_removal -21.4/e0.00  all_routes/path/plus_removal -21.6/e0.00  all_routes/offpath/plus_removal -21.2/e0.00  l2_latents_mask/path/alone -19.4/e0.01
graph 85: base T 100.0  qk_removal +0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal +0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal +0.0/e0.00  l2_latents_mask/path/alone +0.0/e0.00
graph 86: base T 99.9  qk_removal -0.1/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.04  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.03  all_routes/path/plus_removal -0.1/e0.05  all_routes/offpath/plus_removal -0.0/e0.01  l2_latents_mask/path/alone -99.1/e1.00
graph 87: base T 100.0  qk_removal -0.2/e0.15  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.16  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.17  all_routes/path/plus_removal -0.2/e0.18  all_routes/offpath/plus_removal -0.4/e0.24  l2_latents_mask/path/alone -0.0/e0.01
graph 88: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.3/e0.00
graph 89: base T 99.5  qk_removal +0.5/e0.01  l1_latents/path/alone -0.1/e0.97  l1_latents/path/plus_removal +0.5/e0.01  answer_heads/path/alone -0.0/e0.96  answer_heads/path/plus_removal +0.5/e0.01  all_routes/path/plus_removal +0.5/e0.01  all_routes/offpath/plus_removal +0.5/e0.01  l2_latents_mask/path/alone +0.4/e0.88
graph 90: base T 99.7  qk_removal -64.7/e0.93  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -59.9/e0.93  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -64.9/e0.93  all_routes/path/plus_removal -60.1/e0.93  all_routes/offpath/plus_removal -61.7/e0.84  l2_latents_mask/path/alone -6.3/e0.12
graph 91: base T 21.7  qk_removal +3.8/e0.27  l1_latents/path/alone +11.6/e0.12  l1_latents/path/plus_removal +38.9/e0.34  answer_heads/path/alone -0.1/e0.10  answer_heads/path/plus_removal +3.7/e0.27  all_routes/path/plus_removal +38.7/e0.33  all_routes/offpath/plus_removal +3.3/e0.20  l2_latents_mask/path/alone -11.9/e0.30
graph 92: base T 100.0  qk_removal -5.8/e0.45  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -9.0/e0.15  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.9/e0.78  all_routes/path/plus_removal -5.2/e0.40  all_routes/offpath/plus_removal -5.4/e0.50  l2_latents_mask/path/alone -5.2/e0.94
graph 93: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 94: base T 99.9  qk_removal -14.7/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -14.7/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -13.3/e0.01  all_routes/path/plus_removal -13.4/e0.01  all_routes/offpath/plus_removal -12.7/e0.02  l2_latents_mask/path/alone -98.1/e0.00
graph 95: base T 99.9  qk_removal -98.8/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.8/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -98.8/e0.01  all_routes/path/plus_removal -98.8/e0.01  all_routes/offpath/plus_removal -98.9/e0.01  l2_latents_mask/path/alone -90.7/e0.05
graph 96: base T 100.0  qk_removal -1.6/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -1.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.5/e0.00  all_routes/path/plus_removal -1.1/e0.00  all_routes/offpath/plus_removal -1.3/e0.00  l2_latents_mask/path/alone -0.8/e0.00
graph 97: base T 100.0  qk_removal -21.8/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -22.8/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -20.9/e0.00  all_routes/path/plus_removal -21.9/e0.00  all_routes/offpath/plus_removal -18.1/e0.00  l2_latents_mask/path/alone -4.6/e0.00
graph 98: base T 100.0  qk_removal -11.6/e0.05  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -7.6/e0.09  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -11.6/e0.05  all_routes/path/plus_removal -7.5/e0.09  all_routes/offpath/plus_removal -9.1/e0.08  l2_latents_mask/path/alone -0.0/e0.01
graph 99: base T 100.0  qk_removal -48.9/e0.12  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -42.8/e0.13  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -49.2/e0.12  all_routes/path/plus_removal -43.1/e0.14  all_routes/offpath/plus_removal -30.8/e0.17  l2_latents_mask/path/alone -0.0/e0.00
written: /Users/ecaterina/Developer/phoenix/results/seed3/masking_n100.json
